Fp1,Fp2,F7,F3,Fz,F4,F8,FC3,FCz,FC4,T7,C3,Cz,C4,T8,CP3,CPz,CP4,P7,P3,Pz,P4,P8,O1,Oz,O2,VPVA,VNVB,HPHL,HNHR,Erbs,OrbOcc,Mass
-8330.345153808594,-11057.100797954356,-7485.088549162211,1947.8170495284232,23.151698865388568,-25597.68526177657,-17842.054367065426,-2253.1810559724504,712.4323593942742,-1012.2123517488176,-8401.117826762951,-3251.464743363229,1947.0641487523128,-753.2772264982525,-10847.543415270353,-5178.890730205335,2315.6090786582545,1349.762866371556,-8262.270375301963,-4444.247797915808,1773.4577781275696,752.1478753340871,2005.476700632196,-3062.925840678968,-11071.594137894477,-9992.499100534538,-12531.092292384095,-17342.881152504367,-7696.465442055149,-2799.8497611597963,-1233.251471268503,-8422.951949270147,-5013.942718505858
-8333.544982107062,-11060.363367984168,-7485.653224744293,1946.1230227821748,20.140095760947776,-25599.755738910877,-17846.8854803788,-2254.435890599301,710.236398797286,-1015.161213121916,-8402.56088658383,-3251.966677213969,1945.6210889314348,-754.6575445877877,-10848.23357431512,-5179.76911444413,2314.5424692254314,1348.445290013363,-8262.270375301963,-4444.8752152292345,1772.516652157432,751.8341666773744,2006.0413762142784,-3063.114065872995,-11071.468654431792,-9992.31087534051,-12535.358730115388,-17348.653391787877,-7701.108330174495,-2801.7320131000715,-1230.5535768207749,-8429.916281449166,-5018.146414505807
-8337.184002524926,-11063.939646670691,-7487.974668803967,1943.4251283344468,15.49720764160156,-25602.830083746652,-17849.395149632503,-2256.7573346589734,706.5973783794202,-1017.5453989129315,-8405.57248968827,-3253.9744126169303,1943.6760952598167,-756.4770547967206,-10848.672766434518,-5181.400399459035,2312.534733822471,1346.437554610403,-8264.278110704923,-4446.50650024414,1770.8853671425263,750.3911068564967,2003.4689652292348,-3064.870834350585,-11074.166548879522,-9995.134253250924,-12538.621300145196,-17347.775007549084,-7704.057191547595,-2804.1789406224298,-1227.291006790964,-8433.869010523746,-5017.268030267012
-8338.062386763722,-11064.692547446803,-7489.919662475586,1941.856585050884,13.05028011924342,-25604.210401836197,-17847.073705572828,-2257.9494275544816,704.7151264391447,-1017.5453989129315,-8407.893933747942,-3255.542955900493,1942.7349692896792,-757.2299555728309,-10847.982607389747,-5182.153300235145,2311.0289322702506,1345.5591703716075,-8267.101488615337,-4448.326010453073,1770.1324663664163,748.9480470356187,2000.0181700053963,-3066.815828022204,-11076.864443327247,-9998.145856355362,-12536.550823010895,-17340.998900564093,-7701.610264025235,-2804.4299075478,-1226.0989138954562,-8432.488692434212,-5013.566268117804
-8336.49384348016,-11062.433845118472,-7490.735304983038,1941.6683598568563,13.489472238641037,-25603.959434910823,-17841.55243321469,-2257.8239440917964,705.2798020212273,-1015.8513721666836,-8408.835059718082,-3256.0448897512333,1942.6722275583363,-756.9162469161182,-10846.414064106188,-5182.02781677246,2310.589740150853,1346.2493294163753,-8268.607290167554,-4449.455361617239,1770.571658485814,748.3206297221936,1999.5162361546563,-3067.945179186369,-11077.178151983962,-9999.086982325503,-12530.402133339328,-17334.661985698498,-7695.587057816355,-2802.5476556075246,-1229.7379343133223,-8426.967420076067,-5009.98998943128
-8333.921432495117,-11059.610467208058,-7489.731437281557,1942.9231944837063,16.124624955026725,-25602.579116821285,-17836.784061632658,-2256.882818121659,707.1620539615028,-1013.5926698383532,-8408.08215894197,-3255.417472437808,1943.6760952598167,-755.9123792146381,-10844.78277909128,-5180.647498682924,2311.7190913150184,1348.1315813566507,-8267.101488615337,-4448.514235647101,1772.0774600380344,749.0735304983036,2001.7121967516443,-3067.192278410259,-11075.044933118315,-9997.51843904194,-12524.316185399104,-17334.097310116416,-7690.50497757761,-2800.7281453985916,-1235.3846901341487,-8421.885339837325,-5007.856770565635
-8331.850955360813,-11058.104665655836,-7488.476602654707,1944.6172212299543,19.198969790810033,-25601.32428219444,-17835.34100181178,-2256.067175614206,709.0443059017783,-1011.7104178980776,-8407.015549509148,-3254.413604736328,1945.24463854338,-754.4693193937602,-10843.967136583828,-5178.890730205335,2313.789568449321,1349.8883498342411,-8263.96440204821,-4446.192791587428,1773.3322946648848,750.6420737818665,2003.9081573486324,-3064.682609156558,-11071.907846551192,-9994.56957766884,-12521.24184056332,-17338.05003919099,-7688.685467368677,-2800.2889532791937,-1238.2708097759044,-8421.069697329873,-5008.170479222347
-8330.909829390675,-11057.853698730465,-7488.351119192022,1945.8720558568048,21.018479999743008,-25600.94783180638,-17836.909545095343,-2255.6279834948086,710.1109153346009,-1010.7065501965972,-8407.203774703174,-3254.099896079615,1946.6876983642571,-753.3399682295949,-10844.2181035092,-5178.451538085937,2315.2326282701993,1350.3902836849811,-8262.270375301963,-4444.49876484118,1773.269552933542,751.7086832146895,2004.34734946803,-3063.23954933568,-11071.15494577508,-9993.502968236018,-12520.73990671258,-17342.755669041682,-7689.25014295076,-2801.167337517989,-1238.710001895302,-8424.081300434313,-5009.73902250591
-8329.78047822651,-11058.292890849863,-7488.100152266653,1947.3778574090247,22.461539820620885,-25600.508639686985,-17839.481956080384,-2254.4986323306434,711.2402664987663,-1009.828165957802,-8407.580225091231,-3253.7234456915603,1948.193499916478,-752.1478753340871,-10845.033746016652,-5178.827988473992,2316.424721165707,1350.641250610351,-8262.082150107934,-4443.745864065068,1773.3322946648848,752.3361005281146,2004.2218660053447,-3063.1768076043377,-11072.033330013875,-9994.130385549443,-12520.865390175264,-17346.45743119089,-7690.316752383583,-2802.6103973388667,-1238.5845184326167,-8427.155645270095,-5010.6174067447055
-8328.77661052503,-11059.17127508866,-7486.908059371144,1948.6954337672184,23.653632716128698,-25600.006705836244,-17841.928883602744,-2252.867347315738,712.8088097823293,-1009.5144573010896,-8407.329258165859,-3252.8450614527646,1949.3855928119856,-751.4577162893194,-10846.79051449424,-5178.577021548622,2317.554072329872,1351.3941513864615,-8261.266507600481,-4443.118446751644,1774.0851954409948,752.9635178415399,2004.6610581247428,-3062.110198171515,-11071.343170969109,-9993.377484773333,-12521.49280748869,-17347.775007549084,-7692.51271298057,-2804.2416823537724,-1238.1453263132191,-8427.845804314864,-5011.307565789472
