Fp1,Fp2,F7,F3,Fz,F4,F8,FC3,FCz,FC4,T7,C3,Cz,C4,T8,CP3,CPz,CP4,P7,P3,Pz,P4,P8,O1,Oz,O2,VPVA,VNVB,HPHL,HNHR,Erbs,OrbOcc,Mass
-1598.471089413291,-14379.840148122685,399.4766034578022,2766.659385279605,6172.657012939452,4132.672360068873,-3169.0848501105056,4166.050961143092,6978.072618183336,6517.548310129266,5587.590368170488,6503.180453651828,6301.026595266241,4780.417994449012,7630.523882414163,4656.94226716694,5669.719294497841,5351.681458322625,-18028.585534346726,5890.632930554841,5774.999919690583,5731.457158138876,5612.247868588096,3321.484515541478,5795.202757182874,4927.923804835269,-15305.7198775442,-7308.784284089741,-1297.1852955065272,-3022.4574239630447,2143.194800929019,-4674.8864023309,-4537.607494153473
-1603.3022027266652,-14380.153856779396,382.09714387592504,2765.4045506527546,6172.907979864824,4133.613486039009,-3168.143724140368,4166.992087113229,6980.582287437037,6518.552177830746,5591.982289364463,6506.505765412982,6302.6578802811455,4782.425729851972,7632.782584742495,4658.19710179379,5672.542672408254,5353.751935456928,-18028.3973091527,5893.832758853308,5777.446847212941,5733.966827392577,5615.071246498509,3322.613866705643,5797.335976048519,4930.1825071636,-15308.355030260587,-7308.972509283768,-1294.110950670744,-3021.579039724249,2143.383026123047,-4677.772521972655,-4539.427004362407
-1603.9923617714328,-14378.334346570464,375.63474554764593,2767.5377695184,6175.543132581208,4136.123155292711,-3168.4574327970804,4170.442882337068,6985.16243382504,6520.999105353104,5597.315336528577,6511.211395263671,6305.543999922902,4785.751041613126,7635.794187846935,4660.894996241519,5676.558143214175,5356.700796830026,-18023.87990449604,5898.161938315943,5780.583933780067,5737.480364347758,5618.208333065635,3324.2451517205486,5799.531936645506,4932.503951223272,-15309.484381424752,-7311.921370656865,-1293.107082969264,-3019.8850129780008,2142.002708033511,-4682.917343942742,-4541.560223228053
-1601.9218846371296,-14376.577578092874,378.14441480134656,2771.302273398951,6179.182152999074,4139.009274934467,-3165.759538349352,4174.207386217618,6989.491613287673,6524.073450188887,5599.38581366288,6515.164124338249,6308.053669176603,4789.139095105623,7638.052890175267,4663.718374151932,5679.63248804996,5359.335949546412,-18016.099929809567,5902.1146673905205,5782.968119571083,5740.303742258172,5620.467035393965,3325.374502884714,5800.974996466385,4934.323461432205,-15309.17067276804,-7315.560391074733,-1293.4835333573187,-3019.5085625899465,2140.434164749948,-4687.37200686806,-4543.505216899671
-1597.4044799804683,-14374.2561340332,385.4224556370785,2775.945161518297,6183.950524581105,4143.840388247841,-3157.289404618112,4177.909148366827,6993.569825824938,6528.590854845548,5599.38581366288,6518.050243980006,6311.065272281044,4793.154565911544,7642.7585200259555,4666.290785136976,5682.142157303659,5362.28481091951,-18011.331558227535,5905.879171271073,5785.728755750153,5743.189861899928,5622.537512528268,3326.692079242907,5802.543539749948,4936.205713372481,-15306.911970439707,-7315.748616268758,-1291.0366058349607,-3019.634046052631,2141.5007741827712,-4687.999424181486,-4544.760051526521
-1590.0636974133943,-14368.48389474969,393.9553310996607,2781.6546590704666,6190.8521150287825,4152.875197561163,-3143.5489654541007,4182.4892947548315,6998.840131257709,6536.37082953202,5598.88387981214,6520.999105353104,6316.147352519788,4799.428739045795,7654.491223787005,4669.929805554842,5685.718435990182,5367.429632889596,-18009.88849840666,5909.706416882966,5790.12067694413,5747.832750019274,5626.490241602847,3329.891907541375,5805.429659391703,4939.154574745579,-15302.582790977074,-7310.792019492701,-1285.3898500141343,-3016.747926410876,2143.7594765111016,-4683.544761256168,-4542.5640909295325
-1582.4092061896072,-14360.829403525902,399.6648286518297,2786.7367393092104,6197.3145133570615,4161.972748605828,-3132.318195543791,4186.6302490234375,7004.173178421824,6544.9664467259445,5599.636780588249,6523.88522499486,6322.107816997327,4806.142104299444,7668.984563727126,4674.509951942845,5689.608423333419,5373.452839098478,-18007.755279541012,5912.780761718749,5794.387114675421,5752.663863332648,5631.070387990851,3334.7857625860916,5809.31964673494,4942.354403044048,-15297.500710738332,-7304.0786542390515,-1280.621478432103,-3010.5364950079666,2144.135926899157,-4676.266720420435,-4536.038950869911
-1580.9661463687291,-14358.884409854283,401.2961136667352,2786.862222771895,6196.687096043636,4161.659039949115,-3135.831732498972,4186.002831710012,7003.7339863024245,6545.531122308028,5599.636780588249,6522.818615562037,6322.797976042094,4806.016620836759,7670.302140085319,4675.451077912982,5689.231972945362,5373.201872173108,-18006.186736257452,5911.400443629214,5793.885180824681,5752.036446019222,5630.7566793341375,3337.169948377107,5810.699964824476,4942.66811170076,-15296.74780996222,-7302.949303074886,-1282.5037303723786,-3006.8974745901005,2142.7556088096217,-4673.066892121968,-4531.333321019222
-1588.1814454731186,-14365.346808182563,400.7941798159951,2780.2115992495887,6187.401319804944,4149.361660605982,-3154.2778015136714,4179.352208187705,6995.452077765212,6534.363094129059,5595.684051513671,6516.042508577045,6315.45719347502,4795.726976896587,7650.475752981087,4670.306255942896,5682.455865960372,5363.916095934415,-18006.123994526108,5904.7498201069075,5787.548265959086,5744.130987870065,5624.670731393913,3334.4093121980363,5807.311911331978,4939.091833014237,-15302.896499633787,-7310.039118716591,-1291.914990073756,-3009.5953690378287,2142.3791584215664,-4676.643170808489,-4534.658632780376
-1597.2162547864411,-14373.69145845112,400.98240501002255,2772.494366294459,6177.362642790141,4135.307512785258,-3173.915963423879,4172.074167351972,6985.852592869808,6520.5599132337065,5592.233256289833,6509.015434666683,6306.48512589304,4782.927663702712,7622.869391190377,4663.530148957904,5674.487666079872,5352.873551218133,-18006.68867010819,5897.973713121915,5780.395708586039,5734.970695094057,5619.58865115517,3329.51545715332,5802.229831093236,4934.19797796952,-15310.049057006834,-7318.070060328432,-1300.4478655363382,-3014.9911579332847,2142.8810922723064,-4681.286058927837,-4541.873931884765
